feature,rank
sub_wout_original_glcm_ClusterProminence,9
adc_original_firstorder_Minimum,81
sub_wout_original_glszm_LowGrayLevelZoneEmphasis,26
sub_wout_original_firstorder_Maximum,42
adc_original_glcm_ClusterShade,6
sub_wout_original_firstorder_Mean,37
sub_win_original_glcm_Autocorrelation,44
adc_original_glszm_LargeAreaLowGrayLevelEmphasis,74
sub_win_original_glrlm_ShortRunHighGrayLevelEmphasis,54
sub_wout_original_firstorder_10Percentile,31
adc_original_firstorder_10Percentile,24
sub_wout_original_glszm_LargeAreaLowGrayLevelEmphasis,27
sub_win_original_glcm_ClusterProminence,69
sub_wout_original_firstorder_Minimum,25
sub_wout_original_firstorder_Range,5
sub_wout_original_glcm_ClusterTendency,32
t2w_original_glszm_GrayLevelVariance,14
sub_wout_original_firstorder_RootMeanSquared,79
sub_wout_original_glrlm_HighGrayLevelRunEmphasis,16
sub_wout_original_glcm_JointAverage,88
sub_win_original_firstorder_Mean,46
sub_wout_original_firstorder_Variance,70
sub_wout_original_firstorder_InterquartileRange,18
sub_win_original_glcm_Idmn,29
sub_win_original_glcm_ClusterShade,75
sub_wout_original_firstorder_Median,1
sub_wout_original_glcm_SumEntropy,41
sub_win_original_firstorder_10Percentile,58
adc_original_glszm_SmallAreaEmphasis,60
sub_wout_original_glszm_GrayLevelVariance,40
t2w_original_glcm_Idmn,47
sub_win_original_glszm_GrayLevelVariance,73
t2w_original_firstorder_Skewness,87
sub_wout_original_glcm_InverseVariance,53
sub_wout_original_glszm_HighGrayLevelZoneEmphasis,11
t2w_original_firstorder_10Percentile,56
adc_original_firstorder_Maximum,15
sub_win_original_firstorder_Range,85
sub_wout_original_glcm_SumSquares,43
t2w_original_glcm_ClusterProminence,19
sub_wout_original_firstorder_90Percentile,33
t2w_original_glcm_SumEntropy,76
sub_wout_original_glszm_ZoneEntropy,66
adc_original_glcm_MaximumProbability,3
t2w_original_glrlm_GrayLevelVariance,28
t2w_original_glszm_ZoneEntropy,51
sub_win_original_glcm_SumSquares,2
sub_win_original_glrlm_ShortRunLowGrayLevelEmphasis,13
sub_win_original_firstorder_90Percentile,61
t2w_original_glcm_ClusterShade,86
adc_original_glrlm_LongRunEmphasis,82
adc_original_firstorder_Mean,35
sub_win_original_glszm_SmallAreaLowGrayLevelEmphasis,20
adc_original_glszm_LargeAreaHighGrayLevelEmphasis,23
adc_original_glcm_Correlation,65
t2w_original_glcm_InverseVariance,63
sub_win_original_glcm_Id,68
sub_wout_original_glrlm_LongRunHighGrayLevelEmphasis,84
sub_wout_original_glcm_DifferenceVariance,52
adc_original_glszm_ZoneEntropy,57
t2w_original_glrlm_RunEntropy,34
sub_wout_original_firstorder_Uniformity,30
t2w_original_firstorder_Median,8
adc_original_glszm_SizeZoneNonUniformityNormalized,4
sub_wout_original_glcm_Imc1,10
sub_wout_original_glrlm_ShortRunHighGrayLevelEmphasis,39
adc_original_glcm_ClusterProminence,64
adc_original_glcm_DifferenceVariance,38
t2w_original_firstorder_90Percentile,7
t2w_original_glszm_SmallAreaEmphasis,89
adc_original_glcm_JointEntropy,45
sub_win_original_glrlm_LongRunHighGrayLevelEmphasis,50
t2w_original_glcm_ClusterTendency,67
sub_win_original_glcm_SumEntropy,22
sub_wout_original_glszm_ZoneVariance,12
adc_original_glcm_Idmn,59
t2w_original_glrlm_ShortRunLowGrayLevelEmphasis,72
adc_original_firstorder_Kurtosis,17
t2w_original_glcm_MaximumProbability,78
sub_win_original_glszm_ZoneEntropy,48
t2w_original_glszm_SizeZoneNonUniformityNormalized,36
t2w_original_glcm_JointEntropy,71
t2w_original_glszm_LargeAreaHighGrayLevelEmphasis,21
sub_win_original_glszm_SizeZoneNonUniformityNormalized,62
sub_wout_original_glszm_SmallAreaHighGrayLevelEmphasis,80
sub_win_original_glcm_MaximumProbability,83
sub_win_original_glcm_Imc1,77
sub_wout_original_glcm_JointEntropy,55
t2w_original_glszm_LargeAreaLowGrayLevelEmphasis,49
